,,"GeneID","Length","Min4vsCtrl","Min8vsCtrl","Min15vsCtrl","Min30vsCtrl","Hr1vsCtrl","Hr2vsCtrl","Hr4vsCtrl","Hr8vsCtrl","Hr16vsCtrl","CtrlHr16vsCtrl","AveExpr","F","P.Value","adj.P.Val"
,"9891",9891,6821,0.219358847285898,0.260878598348624,0.189342666384665,0.083444238288139,0.39784950132304,0.701504071362582,1.11598602470188,0.312903423195616,-0.146785510643145,-0.009267689318088,6.39477559268107,37.4571257238396,1.36E-13,5.77E-11
,"1848",1848,3395,-0.560273697686044,-0.388745897281272,-0.350407541803354,-0.514502554082674,-0.346448461869501,-0.545721857153745,0.04879179092239,-0.137873801041021,-0.190114136764679,0.422607168314569,8.09386014068914,37.1136860846363,1.53E-13,6.30E-11
,"84154",84154,3692,-0.13412168056014,-0.190490382305935,-0.154041729861429,0.019755902590342,-0.158754716797099,-0.025577724462559,0.168729477634497,0.33081096118435,0.128852130971621,-0.765237214760098,6.62482624120488,36.0236613023525,2.24E-13,8.95E-11
,"162417",162417,2398,0.057147638382096,-0.006955689277724,-0.160766819900025,-0.68670852381545,-0.267537700176636,-1.13092892207278,-1.16194955553031,0.1989633778369,0.195676284898017,0.536707026911018,4.02394243368963,35.6855347845729,2.53E-13,9.80E-11
,"3553",3553,1764,-0.379469545950615,-0.397191085224653,-0.386944943684427,-0.463778636281805,-0.349138051003228,-0.247162846657409,0.264673144925703,-0.78094098732835,-0.682817937394756,1.97535035820474,4.29808807581723,35.5866242553411,2.62E-13,9.88E-11
,"3280",3280,1461,-0.020798644159887,-0.262740315293122,-0.273234684525945,0.38037799475312,0.987842094087008,3.32546510865818,1.59228353248025,0.899212493208209,-0.315235975812013,0.579276585982015,1.96260470271376,35.3086541461299,2.89E-13,1.06E-10
,"6319",6319,5468,0.073173491034722,-0.007209439366301,0.058392928090948,-0.172963946388454,0.069730102754238,-0.180028367259697,0.145021629423419,-0.288023071376483,-0.217537704021329,1.86452230555495,7.54848920260083,34.8347270454354,3.43E-13,1.23E-10
,"22822",22822,5913,-0.484402018502681,-0.557788718855932,-0.432749722217986,-0.721440202990232,-0.486306618719921,-0.748372302198456,0.030476956868668,-0.399772310370988,-0.24727711500906,0.53820064758867,8.75346763833369,34.5773672500996,3.77E-13,1.31E-10
,"5328",5328,2804,0.148262029341304,0.139779426415621,0.005394699702729,0.144018450804474,0.040917089011601,0.469169911350953,0.778118769268265,-0.321224655948448,-0.40458796503588,-0.056808074133301,7.36050705568706,34.5141453057251,3.86E-13,1.31E-10
,"7756",7756,2800,-0.143616620292816,-0.292065336328628,-0.134015001890844,-0.061437442394813,-0.215073681212035,0.054127407251876,0.57437858352824,0.618371687483246,0.071332189237907,-0.042228268852497,7.32606137668141,34.232114690508,4.29E-13,1.40E-10
,"9510",9510,4651,0.186158561160741,0.165117074845948,0.065521886114799,0.589035521300385,0.825267732644289,0.7492717725286,0.822051173385741,0.310612918107759,-0.132095610355226,0.397837653778585,7.01127267617514,34.2081256050882,4.33E-13,1.40E-10
,"1843",1843,2024,-0.254008490777454,-0.318379088918104,-0.266414140403914,0.216099579335245,-0.174701689193315,-1.20932525405711,-0.968544289557872,-1.24628161214662,-1.02464122553604,0.483739928480137,7.06369586325056,34.0697128678369,4.55E-13,1.44E-10
,"3949",3949,5284,-0.079826435307549,-0.280291367198574,-0.222729120206946,-0.596890388270903,-0.036594390003157,-0.13307702524683,-0.176291549434597,-0.628384662438121,-0.225026690372595,1.14042283857866,7.65201175032122,33.4461946088013,5.76E-13,1.78E-10
,"3855",3855,2593,0.072054149785425,0.306674948807013,0.144912925000165,0.113328956900583,0.130701789461897,0.246107242955793,0.111913747711993,-0.055969101147272,-0.3375378845981,-1.02276022116275,7.9895253351921,33.1734813602883,6.38E-13,1.87E-10
,"30836",30836,2722,-0.012067283553135,-0.054516375444131,0.009598154119234,0.236263481804582,0.09312453954937,0.372571535371887,0.802496235124584,0.416219716074429,0.018193958529312,-0.072498897450877,7.74470965901843,33.1391292269908,6.47E-13,1.87E-10
,"3312",3312,2480,0.137243430644711,0.188645662422982,0.227119524778301,0.541429979394758,0.182338438048232,0.644554222277552,0.88970194446676,0.890178453015215,0.295645825409146,-0.104431135013854,12.035943986255,33.1382688890679,6.47E-13,1.87E-10
,"27115",27115,7439,0.071353000544872,0.041229634769675,0.165684528218266,0.081047306056452,0.18358416062267,-0.100159475596034,-1.01727058008102,-1.40917972133904,-0.511288613811872,-0.760012234662068,4.41174315997084,32.9903030821044,6.85E-13,1.94E-10
,"6591",6591,2112,0.355094298734425,-0.099708768888835,0.088044990840045,0.485425659098508,0.309164467272321,0.811106186789711,1.27632031972032,0.382239961113609,-0.004904841278488,-0.943032659479423,3.77126975829283,32.9321378167185,7.00E-13,1.94E-10
,"1846",1846,9073,0.043492519183694,0.050854753968324,0.006661944178687,-0.371945509408777,-0.083573341608229,-0.759082349259922,-0.390864920753474,-0.274992530230104,-0.21837143486797,0.132233962695599,8.79074301010268,32.8336922382293,7.27E-13,1.98E-10
,"8140",8140,4602,0.217066544820137,0.215056767282508,0.250591179924632,0.129739248394724,0.212342459423636,0.182515406053724,0.932242975701715,1.01911393286359,0.062525178234301,-0.36164708438172,8.41934263673057,32.7435980836056,7.53E-13,2.01E-10
,"6430",6430,1668,0.122008792116697,0.199123114670743,0.040296639600301,0.742079491475266,0.588519436793897,0.958338615135752,0.762924331018549,-0.527982437013973,-0.327309083232897,-0.363214177644293,6.58451025269266,32.6308348424071,7.86E-13,2.01E-10
,"50848",50848,4830,0.031598890877129,0.082682129121407,-0.089892375952631,-0.123534330121283,0.06883684536582,-0.122613817986048,-0.369677879904371,-0.623187990831221,-0.467422237133492,0.61553120923785,5.29478478909469,32.605910820721,7.94E-13,2.01E-10
,"8613",8613,3308,0.21147849415765,0.290647056919405,0.190278058400391,0.79458106678837,0.287208295194721,0.342374374009359,0.746954382056596,-0.072606590535857,-0.179392730907536,-0.412402843498976,5.19612103582726,32.5877456522067,8.00E-13,2.01E-10
,"220213",220213,3113,-0.295904760176946,-0.144857216065393,-0.183080023486066,-0.197960416309603,-0.311333552590929,-0.893176749646758,-1.08778962605897,-0.467694909085261,-0.429283763899276,1.09734434097838,3.51014249884816,32.4961761866766,8.29E-13,2.04E-10
,"27063",27063,1974,-0.073518100876347,0.052460063209708,-0.00339027749698,0.08395726252863,-0.016158559329991,0.248694570184499,0.35677520377325,-0.58075355219386,-0.449865697998501,-0.550013484811563,9.84855125529717,32.458176799267,8.41E-13,2.04E-10
,"3638",3638,3149,-0.198833872399486,-0.348860369916364,-0.320702502899692,0.102970923290282,-0.09483351671983,0.601283607770505,1.25171385136663,-0.789417856564148,-0.385488573147501,2.75750115284496,6.27515345620393,31.5003338722085,1.23E-12,2.92E-10
,"27316",27316,3419,-0.009281475044494,-0.049695483863394,0.010460721317497,0.364556085644493,-0.023818344388751,0.249100236524415,0.591563703073231,0.547672698205471,0.165929682034585,0.041797928335591,8.62216417561896,31.4336820095099,1.26E-12,2.95E-10
,"204010",204010,1144,0.09565250346516,-0.008077527037344,-0.198452916754483,0.299750092124266,-0.010691837429185,0.001674216272584,-1.33698991115412,-1.71823819660177,-0.362164516682295,0.504248803281866,3.13913577887648,31.2745273810091,1.34E-12,3.09E-10
,"4234",4234,1530,0.067167087708017,0.082280172839415,0.04291000410932,0.246857189111505,0.140624119316854,0.287535787313006,0.640370593444349,0.491640664732594,0.308198341822708,-0.565847726596327,4.12696254820424,31.1619086788366,1.41E-12,3.18E-10
,"200879",200879,3664,0.017402725236225,0.12857844459358,0.139451284648668,-0.180973478913098,0.070126567293642,0.000592513101517,-0.457940423530856,-1.26196582167755,-0.620054066001737,0.25166841197653,3.90812963142638,31.0900647433142,1.45E-12,3.22E-10
,"10468",10468,3139,-0.180994444418846,-0.213154134615415,-0.192889372190592,-0.04631570393869,-0.026887475818723,-0.104022743808197,0.575117053883467,-0.274541418967153,-0.662458257669302,0.181031291385112,7.40960023981422,31.041835770607,1.48E-12,3.23E-10
,"55749",55749,4759,-0.018825689080654,-0.207927530759402,0.008572102970753,-0.224096023937205,-0.110277711900595,-0.29731292628875,0.306034776467706,0.608992514634359,0.221626845524574,0.08445257591325,6.29381596798861,30.7893679612812,1.63E-12,3.53E-10
,"55323",55323,2587,0.017065742918988,0.199951579084611,-0.071226566415751,-0.283973349053463,-0.103925841305291,-0.29533489180837,-0.844288630594838,-0.276452181797279,-0.002517403371507,0.982572771487702,4.72688713479455,30.2178855944349,2.07E-12,4.39E-10
,"1992",1992,3339,-0.107689374484487,-0.012986545455019,-0.028279321862089,0.228838102881234,-0.06711455194605,0.197069541589747,0.051207859351697,-0.57165386476619,-0.893858074013939,-0.278456723353044,6.45021732728203,29.9679954067814,2.29E-12,4.80E-10
,"64651",64651,3863,0.108026038239415,-0.070948456960621,-0.013982978008936,-0.084863605802189,0.707135795459197,1.57721727018266,0.475070341447985,0.03634840248603,-0.161194550260459,0.415488874550437,4.52865240270335,29.7528198268784,2.51E-12,5.17E-10
,"10765",10765,7138,0.075253831730267,-0.056227097114201,0.047594432266149,-0.533382172752624,-0.061639393597027,-0.545569316918441,-0.552403564430835,-0.08987555519543,-0.164086912127179,0.512690058987126,6.29577859433296,29.4966004087546,2.80E-12,5.61E-10
,"3880",3880,1471,0.227931640519775,0.493918273659086,0.18618260553943,0.134453065285937,0.252820555244777,0.265428735735345,-0.236052430512337,-0.785902003302499,-0.384583150526527,0.583551105251667,7.2202217289766,29.4896035632349,2.81E-12,5.61E-10
,"5373",5373,2711,0.292693328817794,0.33031270010087,0.18652555186843,0.582279665607063,0.262338851398361,0.625420594468486,1.00001527867687,0.594791960519424,0.029226907958281,-0.088495728857762,5.57149044043412,29.43674038037,2.87E-12,5.63E-10
,"54206",54206,4505,-0.243096071954543,-0.230685053785082,-0.258688887718195,-0.450738800336067,0.100682610553854,0.205560977445041,0.231473646913434,0.031374330806887,-0.049862102482994,1.5328109354542,8.84686910976081,29.4105917433144,2.90E-12,5.63E-10
,"64332",64332,4197,-0.510101418749436,-0.789071855979826,-0.617597766240617,0.166916012180182,0.387508124905257,0.301021326085152,-0.286829955659456,-0.293429815016484,-0.112612453368802,1.22874154744282,5.15877745655336,29.2868629595091,3.06E-12,5.79E-10
,"51429",51429,4748,0.027248365112508,-0.088081602698614,-0.075415944078689,-0.265466245816879,-0.052096602218236,-0.200321210996693,-0.229312309498663,-0.473327487846079,-0.271814730229478,0.757986989500591,5.96527597512183,29.2781043936148,3.07E-12,5.79E-10
,"390",390,2807,-0.070426213034894,-0.048760463857146,0.002736992303381,0.499596054192925,0.51018493692585,0.619355031011566,0.306363205346553,-0.151289894510851,-0.423309329417538,0.342871665553877,7.66217311176194,28.8475954462413,3.69E-12,6.88E-10
,"9903",9903,4962,0.38323829057049,0.413000655467091,0.321212736457284,0.282992827605067,0.391250929355341,0.789989467030072,1.06729385116196,0.807124431766758,0.451790875378387,0.224848888726178,6.20992808887261,28.5643749589953,4.18E-12,7.63E-10
,"56937",56937,5517,0.260310529753478,0.06396918534433,0.141512808267267,-0.114297803013972,-0.107211822301624,0.05426704837901,1.52300574557325,0.838285829820898,0.260047486602064,0.020399163785485,3.9496997523355,28.5443586618855,4.21E-12,7.63E-10
,"8202",8202,8026,0.033156730225201,-0.188056153317672,-0.009198336746318,-0.388108238190505,-0.070947072062024,-0.42627308372299,-0.201483474357457,0.051097516147925,0.172531745565792,0.597017391074989,5.84890155273377,28.4297363582318,4.43E-12,7.92E-10
,"51330",51330,1033,0.224770545720371,0.457082788337324,0.067746013704618,0.520403456811525,0.412359460130348,0.941219822747168,1.04786260570579,0.192709812684059,0.043218459985326,-0.074463638493186,6.4511085459457,28.2854371256626,4.72E-12,8.33E-10
,"7804",7804,8014,0.010804826145606,-0.087492333182642,-0.089329470258086,-0.272936711856772,0.073279801833966,-0.172734589260836,-0.320279434372893,-0.471870093485415,-0.190148296416883,0.583332240916666,5.81179606894594,28.2107895491541,4.88E-12,8.50E-10
